symbol,description,exch,last,volume,high,low,close,change,average_volume,volatility,date
OBE,Obsidian Energy Ltd. Common Shares,A,9.51,472789,9.725,9.485,9.51,-0.02,0,0.025236593059936932,2026-04-15
OGEN,Oragenics Inc,A,0.6768,26568,0.6793,0.631,0.6768,0.03,944302,0.07136524822695037,2026-04-15
OPTT,Ocean Power Technologies Inc,A,0.3801,3980642,0.385,0.3676,0.3801,-0.01,305458,0.04577742699289668,2026-04-15
ORLA,Orla Mining Ltd. Common Shares,A,16.15,4116444,17.74,16.0901,16.15,-1.64,0,0.10216099071207424,2026-04-15
OSTX,OS Therapies Inc,A,1.38,764197,1.425,1.37,1.38,-0.01,0,0.03985507246376807,2026-04-15
OTH,Off The Hook YS Inc,A,3.1,84989,3.2431,2.96,3.1,-0.03,0,0.09132258064516133,2026-04-15
OZ,Belpointe PREP LLC,A,50.365,25611,52.1,49.43,50.365,-1.33,0,0.05301300506303984,2026-04-15
PAPL,Pineapple Financial Inc,A,0.6221,30691,0.6517,0.6216,0.6221,-0.04,0,0.048384504099019295,2026-04-15
PED,PEDEVCO Corp,A,15.1,11260,15.68,14.91,15.1,-0.8,24008,0.05099337748344368,2026-04-15
PHGE,BiomX Inc,A,1.93,218895,2.22,1.88,1.93,-0.28,0,0.17616580310880844,2026-04-15
PLAG,Planet Green Holdings Corp,A,1.35,34378,1.47,1.33,1.35,-0.09,59212,0.10370370370370363,2026-04-15
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),A,1.89,992500,1.95,1.88,1.89,-0.04,0,0.03703703703703707,2026-04-15
PLX,Protalix BioTherapeutics Inc,A,2.38,682510,2.385,2.34,2.38,0.02,145708,0.018907563025210055,2026-04-15
PMI,Picard Medical Inc,A,0.947,169098,0.9694,0.9356,0.947,-0.02,0,0.03569165786694831,2026-04-15
PMNT,Perfect Moment Ltd,A,0.318,12069310,0.318,0.2702,0.318,-0.04,2344428,0.15031446540880505,2026-04-15
POAS,Phaos Technology Holdings Cayman Ltd,A,1.83,95334,1.9451,1.81,1.83,-0.12,0,0.07382513661202185,2026-04-15
PRK,Park National Corp,A,171.64,89623,172.11,168,171.64,0.34,37158,0.02394546725704972,2026-04-15
PTHS,Pelthos Therapeutics Inc,A,23,27915,23.05,23,23,0,0,0.0021739130434782917,2026-04-15
PTN,Palatin Technologies Inc,A,21.785,18980,21.93,19.53,21.785,1.3,0,0.11016754647693361,2026-04-15
PZG,Paramount Gold Nevada Corp,A,1.75,317368,1.79,1.7,1.75,0.01,34213,0.051428571428571476,2026-04-15
QNC,Quantum eMotion Corp. Common Shares,A,2.84,1012160,2.95,2.77,2.84,0.14,0,0.0633802816901409,2026-04-15
REED,Reed's Inc,A,4.35,13998,4.35,4.1,4.35,0.01,10953,0.0574712643678161,2026-04-15
REI,Ring Energy Inc,A,1.31,2569689,1.325,1.28,1.31,0,983720,0.034351145038167885,2026-04-15
REPX,Riley Exploration Permian Inc,A,34.51,501964,34.9,33.94,34.51,-0.35,0,0.027818023761228657,2026-04-15
RLGT,Radiant Logistics Inc,A,7.91,220904,8.1,7.8305,7.91,-0.16,172710,0.03407079646017697,2026-04-15
ROLR,High Roller Technologies Inc,A,6,4056344,7.37,5.8,6,-1.41,0,0.2616666666666667,2026-04-15
RVP,Retractable Technologies Inc,A,0.6882,96584,0.7095,0.6739,0.6882,0.02,158832,0.051729148503341996,2026-04-15
RYDE,Ryde Group Ltd,A,1.23,1197942,1.43,1.19,1.23,-0.16,0,0.1951219512195122,2026-04-15
SACH,Sachem Capital Corp,A,1.06,102740,1.06,1.03,1.06,0.03,82996,0.028301886792452855,2026-04-15
SBEV,Splash Beverage Group Inc,A,0.342,1362783,0.3581,0.310101,0.342,-0.03,0,0.14034795321637414,2026-04-15
SDEV,Stablecoin Development Corporation Common Stock,A,1.57,294257,1.678,1.54,1.57,-0.09,0,0.08789808917197446,2026-04-15
SER,Serina Therapeutics Inc,A,2.03,81204,2.07,1.92,2.03,0.1,0,0.07389162561576351,2026-04-15
SIF,SIFCO Industries Inc,A,15.89,85761,16,14.75,15.89,0.15,26511,0.07866582756450598,2026-04-15
SLI,Standard Lithium Ltd. Common Shares,A,3.65,1499124,3.685,3.505,3.65,0.16,0,0.04931506849315073,2026-04-15
SLND,Southland Holdings Inc,A,1.17,73549,1.215,1.1,1.17,0.06,0,0.09829059829059829,2026-04-15
SLSR,Solaris Resources Inc. Common Shares,A,10.17,76759,10.26,9.97,10.17,-0.09,0,0.02851524090462135,2026-04-15
SMJF,SMJ International Holdings Inc,A,3.42,258987,3.45,3.35,3.42,-0.06,0,0.02923976608187137,2026-04-15
SOAR,Volato Group Inc,A,0.259,7911647,0.27,0.2427,0.259,-0.02,0,0.10540540540540548,2026-04-15
